Country,Whole Country/Province/State,Reporting Area,Species,Catch Type,Data Type,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Whole country,Whole country,Total,Commercial,Number (000's),22744.9,28850.5,17081.9,29417.2,18887.4,34486.5,16526.1,15945.4,18625.7,21521.3,22766.9,27030.8,22008.8,22681.8,20324.4,17317.2,23540.6,21368.5,16795.9,14468.7,23756.4,15732.3,25559.4,18190.1,20782,22335,27661.6,22157,25580,21297,19496,17090,20843,26208,15904,11576,18086,32767,19967,20608,14178,29157,21840,35889,11536,25749,22138,28303,25011,21729,11642,22042,22476,25651,23286,19648,31549,20103,35518,19008,41726,39822,25103,37200,36679,39079,40807,26074,34916,21009,20678,14950.56583,20669.36384,9392.04982,8067.12843,8756.52305389554,11357.1762566667,12914.9667407422,17259.0967702517,9043.47952260877,11888.759,8164.946,8805.216,1692.118,11163.32,11459.721,9731.4770000000008,3012.9369999999999,14527.17,14836.65,5434.5910000000003,6848.2839999999997,3824.174,5337.8429999999998,1174.4390000000001,2448.127,668.09900000000005,2299.2310000000002,2291.0509999999999
Japan,Whole country,Whole country,Total,Commercial,Number (000's),47081.0764285554,144547.481060861,51722.1576282956,141096.360213247,69438.4930406335,105031.051094237,72958.4311762202,90632.5529646305,69745.8905539502,152001.497524808,160236.105951661,143191.172053849,197065.279147907,177216.674237842,251494.945500974,95392.6799722241,167305.854736465,107805.914611473,136657.672347468,35552.016,8200,3300,5700,3400,9800,8500,11100,25612.6194241286,26448,42972,102152,97846.987151611,123273,114929.114317718,114674.543783356,85760.301838308,90173.140541609,68284,97522.1208209202,70662.8967010996,99064,78379.4065934066,102200,71049.8579088472,97391.8274111675,69370.333333333299,79621,63509,76642,68635,87706,64339,62357,47744,60150,56628.1,66351,59462,68201,64398,79048,61789,60841,60080,66855,74645,74543,55386,76125,78000,84556,101099,80676,70260,58890,59106,67249,67465,83163,78478,75504,70498,80052,58033,70573,54205,46480.12,43622.17,52458.65,43414.89,42032.51,38822.769999999997,21932.81,35173.19,18588.73,21909.75,19419.060000000001,32383.3,20148.675999999999
Russia,Whole country,Whole country,Total,Commercial,Number (000's),20985.8255742979,50779.1765168018,26322.6483552829,41653.3924480586,27716.2715136208,68594.5583193352,56034.6606831439,73246.6724772785,40378.6531060196,50952.1038605157,59601.988333634,30459.35060803,18867.948351416,37145.2482157004,27216.2200991834,51095.1996662837,69426.1508155623,67411.3828853905,101089.795737244,90643.0051093002,73622.6518751617,52153.6647411492,112963.097432579,56313.3325042634,137541.483994183,45329.8709955729,131775.271378752,56143.9231627903,111353.641890208,49918.9002595142,81900.1355605196,74017.5888161214,85059.6548256696,35299.2841160107,45582.1967964369,27327.166279338,34987.1576793926,22846,37613,18562,45842,24031,40303,16425,45954,17586,51459.277310781297,16751.4785409006,74901.4202961962,29205.344193734301,92543.357633911903,50945.9451713168,107999.573535279,56715.2724800408,99885.4794000463,74351.553921814,79524.103,46652.552000000003,107739.313,60693.86,98886.336,40860.963000000003,92400.546,42836.223,129959.51300000001,72253.379000000001,178474.038,76992.892000000007,104817.671,125589,129873.56,102887.5,156116.3,182426.986334733,175914.433968923,133314.728722607,147560.414875818,96437.79802512,149300.596652438,88678.4305364228,182959.810724983,168624.921,213230.19,140926.369,355150.852,181482.86,367770.17719999998,287211.42119999998,226573.49400000001,168552.622,189766.86,276974.86800000002,205716.522,478732.31099999999,329167.38799999998,178673.25750000001,393747.79699109198,154571.073625522,471089.17733903701
United States,Whole country,Whole country,Total,Commercial,Number (000's),77688.8950778907,102360.376072569,60272.1760917688,93305.771308494,85035.7662144098,87690.3599795413,82251.7993151309,76978.645757284,90708.361577266,119968.266670767,83386.7512476452,131447.994905769,119432.47240351,106302.653734776,86457.1047566868,89917.9863768125,112966.835856049,88258.0355587234,91113.1025554113,73837.9413408875,85742.6384438161,80980.1925948988,84698.4330157915,64089.3934771945,90672.3197913349,50566.185730698,61001.9908817807,54370.4631750292,48971.6889447103,52822.9641643275,50026.1657126067,56899.3458382121,43265.4780292973,49865.8102738839,32650.656,45602.379,50317.125,66604.979,58468.168,70075.676,62267.027,70144.77,31618.144,67471.388,47967.906,75048.400999999998,58806.375999999997,37766.722,33138.506000000001,30417.592000000001,34010.137000000002,52925.247,59555.833,88770.581,99383.967,115742.352,122500.999,119629.999,132708.45,138123.554,157634.319,138029.83199999999,107034.493,108455.273,164450.52799999999,161107.739,198317.448,140052.43,200117.242,199772.34,223345.204,178204.15700000001,127881.391,153835.774,218039.828,140015.66,179036.502,135673.876,183049.141,172023.865,224726.425,143667.784,215900.754,147954.161,169717.725,175925.038,184621.92071823499,130234.161788144,292515.87530769198,162056.66149999999,271980.891,114961.16099999999,228826.13500000001,118708.47100000001,209778.90299999999,120198.039,237210.016,166114.19200000001,233998.592
